ticket_id,opened_datetime,closed_datetime,system_name,issue_type,severity,facility_id,meter_id,reported_by_team,ticket_status,business_impact,root_cause_category,resolution_summary,related_batch_id,related_exception_code
TCK-000012,2026-04-22T05:00:00,2026-04-23T12:00:00,FlowCalSim,Inactive meter still reporting,High,FAC-008,MTR-063,BI Reporting,Closed,Known scenario: Inactive meters continue to produce readings.,Effective-date or active flag mismatch,Confirm meter status and effective dates before including in reports.,BATCH-20260422-00,INACTIVE_METER_REPORTING
TCK-000013,2026-05-21T08:00:00,2026-05-23T23:00:00,MeterFlow IQ,Null volume batch,Medium,FAC-014,MTR-066,Operations,Resolved,Known scenario: A small set of active meters sends null volumes.,Source feed missing measurement values,Check source payload and apply null-volume exception handling.,BATCH-20260521-02,NULL_VOLUME
TCK-000014,2026-05-23T15:00:00,,FlowCalSim,Negative volume outliers,Medium,FAC-021,MTR-101,Commercial,Investigating,Known scenario: A small number of impossible negative values appear in raw readings.,Bad sensor/source calculation,Reject negative values and review source calculation.,BATCH-20260523-10,NEGATIVE_VOLUME
TCK-000015,2026-05-26T03:00:00,2026-05-27T07:00:00,MeterFlow IQ,High nomination variance,High,FAC-006,MTR-029,Operations,Resolved,Known scenario: Actual measured volume materially differs from nominated volume.,Business variance or data-quality impact,Compare actual vs nominated by facility/date/product and review exception impact.,BATCH-20260526-00,NOMINATION_VARIANCE
TCK-000016,2026-04-28T11:54:00,,Azure SQL,Late Data Arrival,High,FAC-021,MTR-102,Commercial,Investigating,Potential measurement close impact,Source Data,Documented workaround and escalation path,BATCH-20260428-11,MISSING_ASSET
TCK-000017,2026-04-25T17:36:00,2026-04-27T11:36:00,BigQuery,Duplicate Records,High,FAC-009,MTR-045,Field Ops,Closed,Dashboard value mismatch,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260425-17,ZERO_VOLUME
TCK-000018,2026-05-06T09:53:00,2026-05-08T12:53:00,FlowCalSim,Failed Pipeline Job,High,FAC-002,MTR-006,Operations,Closed,Report output delayed,Source Data,Closed after successful rerun,BATCH-20260506-09,DUPLICATE_READING
TCK-000019,2026-04-02T06:22:00,2026-04-06T05:22:00,MeterFlow IQ,Incorrect Facility Mapping,Medium,FAC-022,MTR-108,Commercial,Closed,User unable to validate volume,User Workflow,Validated source-to-target counts,BATCH-20260402-06,DUPLICATE_READING
TCK-000020,2026-04-25T05:34:00,2026-04-27T00:34:00,Streamlit,Late Data Arrival,Medium,FAC-015,MTR-072,BI Reporting,Resolved,Pipeline health alert,Polling Platform,Waiting on source system refresh,BATCH-20260425-05,LATE_ARRIVAL
TCK-000021,2026-04-10T11:33:00,2026-04-12T01:33:00,MeterFlow IQ,Polling Outage,Medium,FAC-023,MTR-115,Application Support,Closed,Potential measurement close impact,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260410-11,DUPLICATE_READING
TCK-000022,2026-05-04T06:06:00,,Streamlit,BI Report Mismatch,Medium,FAC-018,MTR-086,Commercial,Investigating,Dashboard value mismatch,User Workflow,Documented workaround and escalation path,BATCH-20260504-06,DUPLICATE_READING
TCK-000023,2026-05-13T11:26:00,,Snowflake,Missing Measurement Data,Medium,FAC-023,MTR-111,Operations,Waiting on Source Team,Pipeline health alert,Reference Data,Waiting on source system refresh,BATCH-20260513-11,PIPELINE_FAILED
TCK-000024,2026-05-02T10:38:00,2026-05-03T21:38:00,FlowCalSim,BI Report Mismatch,High,FAC-014,MTR-069,Field Ops,Closed,Pipeline health alert,Source Data,Waiting on source system refresh,BATCH-20260502-10,DUPLICATE_READING
TCK-000025,2026-04-01T00:23:00,2026-04-03T12:23:00,BigQuery,User Access Issue,Critical,FAC-025,MTR-122,Measurement,Resolved,Report output delayed,Source Data,Validated source-to-target counts,BATCH-20260401-00,PIPELINE_FAILED
TCK-000026,2026-05-18T22:41:00,2026-05-20T19:41:00,Streamlit,User Access Issue,Low,FAC-012,MTR-060,Field Ops,Resolved,User unable to validate volume,Source Data,Closed after successful rerun,BATCH-20260518-22,PIPELINE_FAILED
TCK-000027,2026-05-10T05:30:00,2026-05-12T02:30:00,Azure SQL,Missing Measurement Data,Low,FAC-023,MTR-115,Measurement,Closed,User unable to validate volume,Reference Data,Validated source-to-target counts,BATCH-20260510-05,
TCK-000028,2026-05-22T15:41:00,,Streamlit,User Access Issue,Medium,FAC-009,MTR-043,Measurement,New,Dashboard value mismatch,Polling Platform,Validated source-to-target counts,BATCH-20260522-15,
TCK-000029,2026-04-21T07:52:00,2026-04-24T13:52:00,BigQuery,FlowCal Exception,Low,FAC-010,MTR-049,Operations,Closed,Report output delayed,Source Data,Documented workaround and escalation path,BATCH-20260421-07,DUPLICATE_READING
TCK-000030,2026-04-20T08:43:00,,BigQuery,User Access Issue,High,FAC-017,MTR-082,Measurement,Waiting on Source Team,User unable to validate volume,Measurement Approval,Documented workaround and escalation path,BATCH-20260420-08,MISSING_ASSET
TCK-000031,2026-04-01T05:14:00,2026-04-01T16:14:00,Snowflake,BI Report Mismatch,Medium,FAC-019,MTR-091,Operations,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260401-05,DUPLICATE_READING
TCK-000032,2026-05-03T16:14:00,,SimulatedSCADA,BI Report Mismatch,Critical,FAC-013,MTR-062,Operations,Investigating,Dashboard value mismatch,Access / Security,Closed after successful rerun,BATCH-20260503-16,LATE_ARRIVAL
TCK-000033,2026-04-29T02:21:00,2026-04-30T08:21:00,MeterFlow IQ,FlowCal Exception,Critical,FAC-013,MTR-063,Commercial,Resolved,Potential measurement close impact,Reference Data,Validated source-to-target counts,BATCH-20260429-02,DUPLICATE_READING
TCK-000034,2026-05-27T03:49:00,2026-05-29T14:49:00,Azure SQL,Duplicate Records,High,FAC-001,MTR-001,Operations,Closed,Report output delayed,Source Data,Documented workaround and escalation path,BATCH-20260527-03,MISSING_ASSET
TCK-000035,2026-04-24T01:02:00,2026-04-25T00:02:00,Snowflake,Late Data Arrival,Medium,FAC-023,MTR-113,Field Ops,Resolved,User unable to validate volume,Reference Data,Documented workaround and escalation path,BATCH-20260424-01,STALE_READING
TCK-000036,2026-04-26T23:08:00,2026-04-27T15:08:00,MeterFlow IQ,Incorrect Facility Mapping,Medium,FAC-025,MTR-122,Application Support,Closed,Dashboard value mismatch,Source Data,Documented workaround and escalation path,BATCH-20260426-23,
TCK-000037,2026-05-24T12:23:00,2026-05-27T02:23:00,SimulatedSCADA,Missing Measurement Data,Low,FAC-002,MTR-008,Field Ops,Resolved,Potential measurement close impact,Reference Data,Validated source-to-target counts,BATCH-20260524-12,PIPELINE_FAILED
TCK-000038,2026-05-22T11:01:00,2026-05-24T19:01:00,Azure SQL,Missing Measurement Data,Medium,FAC-008,MTR-036,Measurement,Closed,User unable to validate volume,Report Logic,Waiting on source system refresh,BATCH-20260522-11,MISSING_ASSET
TCK-000039,2026-04-03T03:02:00,2026-04-04T19:02:00,Azure SQL,Invalid Quality Code,High,FAC-004,MTR-019,Commercial,Resolved,Pipeline health alert,Reference Data,Documented workaround and escalation path,BATCH-20260403-03,DUPLICATE_READING
TCK-000040,2026-05-10T20:18:00,2026-05-12T12:18:00,FlowCalSim,Failed Pipeline Job,High,FAC-007,MTR-035,Operations,Resolved,Pipeline health alert,Access / Security,Documented workaround and escalation path,BATCH-20260510-20,ZERO_VOLUME
TCK-000041,2026-04-28T10:42:00,2026-05-01T21:42:00,SimulatedSCADA,Incorrect Facility Mapping,Critical,FAC-011,MTR-053,Application Support,Resolved,Report output delayed,ETL / Pipeline,Waiting on source system refresh,BATCH-20260428-10,
TCK-000042,2026-04-05T13:01:00,2026-04-06T06:01:00,Azure SQL,Incorrect Facility Mapping,Critical,FAC-006,MTR-030,Application Support,Closed,Dashboard value mismatch,Access / Security,Validated source-to-target counts,BATCH-20260405-13,ZERO_VOLUME
TCK-000043,2026-04-27T08:02:00,2026-04-28T02:02:00,Streamlit,Invalid Quality Code,High,FAC-021,MTR-104,Measurement,Resolved,Report output delayed,Access / Security,Waiting on source system refresh,BATCH-20260427-08,STALE_READING
TCK-000044,2026-05-29T15:07:00,2026-05-30T22:07:00,Streamlit,BI Report Mismatch,Low,FAC-022,MTR-110,BI Reporting,Resolved,Dashboard value mismatch,User Workflow,Validated source-to-target counts,BATCH-20260529-15,LATE_ARRIVAL
TCK-000045,2026-05-09T06:00:00,2026-05-11T08:00:00,SimulatedSCADA,BI Report Mismatch,Medium,FAC-011,MTR-055,Operations,Closed,Dashboard value mismatch,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260509-06,
TCK-000046,2026-04-09T17:24:00,,Azure SQL,Late Data Arrival,Critical,FAC-005,MTR-021,Measurement,Investigating,Report output delayed,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260409-17,ZERO_VOLUME
TCK-000047,2026-04-07T13:45:00,2026-04-10T02:45:00,Azure SQL,FlowCal Exception,Medium,FAC-009,MTR-045,Operations,Resolved,Pipeline health alert,Polling Platform,Documented workaround and escalation path,BATCH-20260407-13,LATE_ARRIVAL
TCK-000048,2026-04-05T09:18:00,,Snowflake,Incorrect Facility Mapping,Critical,FAC-020,MTR-099,Field Ops,New,User unable to validate volume,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260405-09,NULL_VOLUME
TCK-000049,2026-05-05T16:00:00,2026-05-06T03:00:00,FlowCalSim,Polling Outage,Medium,FAC-021,MTR-104,Field Ops,Closed,Dashboard value mismatch,Measurement Approval,Documented workaround and escalation path,BATCH-20260505-16,STALE_READING
TCK-000050,2026-04-05T06:57:00,2026-04-09T03:57:00,FlowCalSim,Failed Pipeline Job,Medium,FAC-010,MTR-049,Measurement,Closed,Potential measurement close impact,Source Data,Waiting on source system refresh,BATCH-20260405-06,DUPLICATE_READING
TCK-000051,2026-05-21T07:08:00,2026-05-21T22:08:00,BigQuery,BI Report Mismatch,High,FAC-025,MTR-122,Application Support,Resolved,User unable to validate volume,Reference Data,Validated source-to-target counts,BATCH-20260521-07,STALE_READING
TCK-000052,2026-05-17T21:38:00,2026-05-18T21:38:00,SimulatedSCADA,BI Report Mismatch,Low,FAC-012,MTR-058,Operations,Resolved,Dashboard value mismatch,Measurement Approval,Waiting on source system refresh,BATCH-20260517-21,DUPLICATE_READING
TCK-000053,2026-05-15T03:34:00,2026-05-18T23:34:00,Streamlit,Polling Outage,Low,FAC-015,MTR-075,Commercial,Closed,Dashboard value mismatch,Polling Platform,Validated source-to-target counts,BATCH-20260515-03,LATE_ARRIVAL
TCK-000054,2026-05-21T07:00:00,2026-05-25T05:00:00,Azure SQL,User Access Issue,High,FAC-015,MTR-072,BI Reporting,Resolved,Report output delayed,Measurement Approval,Waiting on source system refresh,BATCH-20260521-07,LATE_ARRIVAL
TCK-000055,2026-05-03T20:00:00,2026-05-06T05:00:00,BigQuery,User Access Issue,Low,FAC-021,MTR-101,Measurement,Closed,User unable to validate volume,Polling Platform,Waiting on source system refresh,BATCH-20260503-20,PIPELINE_FAILED
TCK-000056,2026-04-01T08:56:00,2026-04-04T20:56:00,BigQuery,Failed Pipeline Job,High,FAC-020,MTR-098,Commercial,Closed,Pipeline health alert,User Workflow,Waiting on source system refresh,BATCH-20260401-08,LATE_ARRIVAL
TCK-000057,2026-04-05T19:17:00,2026-04-06T19:17:00,Streamlit,Duplicate Records,Low,FAC-023,MTR-113,Operations,Closed,Pipeline health alert,User Workflow,Validated source-to-target counts,BATCH-20260405-19,
TCK-000058,2026-04-22T20:54:00,2026-04-26T02:54:00,Streamlit,Incorrect Facility Mapping,High,FAC-011,MTR-055,BI Reporting,Resolved,Dashboard value mismatch,Polling Platform,Validated source-to-target counts,BATCH-20260422-20,MISSING_ASSET
TCK-000059,2026-04-26T05:36:00,2026-04-28T03:36:00,FlowCalSim,FlowCal Exception,Medium,FAC-015,MTR-075,BI Reporting,Resolved,Dashboard value mismatch,Source Data,Waiting on source system refresh,BATCH-20260426-05,LATE_ARRIVAL
TCK-000060,2026-05-07T04:49:00,2026-05-10T03:49:00,FlowCalSim,Polling Outage,Critical,FAC-013,MTR-063,Measurement,Resolved,User unable to validate volume,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260507-04,DUPLICATE_READING
TCK-000061,2026-04-12T13:02:00,2026-04-16T08:02:00,Streamlit,Incorrect Facility Mapping,Medium,FAC-024,MTR-116,BI Reporting,Resolved,Dashboard value mismatch,User Workflow,Documented workaround and escalation path,BATCH-20260412-13,STALE_READING
TCK-000062,2026-05-30T20:40:00,2026-06-02T14:40:00,Snowflake,Duplicate Records,High,FAC-014,MTR-067,Operations,Resolved,Dashboard value mismatch,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260530-20,LATE_ARRIVAL
TCK-000063,2026-04-14T07:15:00,2026-04-18T04:15:00,SimulatedSCADA,Missing Measurement Data,Medium,FAC-002,MTR-006,Application Support,Resolved,Pipeline health alert,Measurement Approval,Reviewed mapping and confirmed correction,BATCH-20260414-07,MISSING_ASSET
TCK-000064,2026-05-27T22:49:00,2026-05-28T14:49:00,BigQuery,Polling Outage,Critical,FAC-024,MTR-119,Commercial,Closed,Potential measurement close impact,Polling Platform,Waiting on source system refresh,BATCH-20260527-22,ZERO_VOLUME
TCK-000065,2026-05-20T05:41:00,2026-05-21T04:41:00,Streamlit,Invalid Quality Code,Low,FAC-022,MTR-110,Measurement,Closed,User unable to validate volume,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260520-05,NULL_VOLUME
TCK-000066,2026-05-11T14:33:00,2026-05-13T16:33:00,Streamlit,FlowCal Exception,Medium,FAC-011,MTR-054,Operations,Closed,Pipeline health alert,User Workflow,Closed after successful rerun,BATCH-20260511-14,MISSING_ASSET
TCK-000067,2026-04-15T09:42:00,,SimulatedSCADA,Duplicate Records,Medium,FAC-023,MTR-115,Application Support,New,Pipeline health alert,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260415-09,PIPELINE_FAILED
TCK-000068,2026-05-24T09:25:00,,SimulatedSCADA,Polling Outage,High,FAC-025,MTR-123,Measurement,Investigating,User unable to validate volume,Report Logic,Documented workaround and escalation path,BATCH-20260524-09,MISSING_ASSET
TCK-000069,2026-04-23T21:47:00,,Snowflake,Failed Pipeline Job,Medium,FAC-006,MTR-027,BI Reporting,Waiting on Source Team,Dashboard value mismatch,Report Logic,Waiting on source system refresh,BATCH-20260423-21,DUPLICATE_READING
TCK-000070,2026-05-16T20:18:00,2026-05-17T16:18:00,BigQuery,Missing Measurement Data,Medium,FAC-005,MTR-023,Field Ops,Resolved,User unable to validate volume,Access / Security,Documented workaround and escalation path,BATCH-20260516-20,PIPELINE_FAILED
TCK-000071,2026-05-18T12:45:00,2026-05-21T09:45:00,Streamlit,BI Report Mismatch,Medium,FAC-008,MTR-040,Commercial,Resolved,Potential measurement close impact,Access / Security,Validated source-to-target counts,BATCH-20260518-12,STALE_READING
TCK-000072,2026-04-15T12:26:00,2026-04-18T17:26:00,BigQuery,Incorrect Facility Mapping,Low,FAC-009,MTR-043,Field Ops,Resolved,User unable to validate volume,Source Data,Documented workaround and escalation path,BATCH-20260415-12,
TCK-000073,2026-04-28T06:56:00,2026-04-29T15:56:00,MeterFlow IQ,User Access Issue,High,FAC-010,MTR-048,Application Support,Resolved,User unable to validate volume,ETL / Pipeline,Validated source-to-target counts,BATCH-20260428-06,LATE_ARRIVAL
TCK-000074,2026-05-29T09:21:00,2026-05-31T09:21:00,BigQuery,Duplicate Records,Medium,FAC-007,MTR-033,Field Ops,Resolved,Dashboard value mismatch,Source Data,Waiting on source system refresh,BATCH-20260529-09,ZERO_VOLUME
TCK-000075,2026-05-05T20:32:00,,SimulatedSCADA,Duplicate Records,Low,FAC-007,MTR-031,Measurement,Investigating,Potential measurement close impact,ETL / Pipeline,Closed after successful rerun,BATCH-20260505-20,NULL_VOLUME
TCK-000076,2026-05-25T00:17:00,,Streamlit,Missing Measurement Data,Medium,FAC-024,MTR-117,Application Support,Investigating,Pipeline health alert,Measurement Approval,Waiting on source system refresh,BATCH-20260525-00,LATE_ARRIVAL
TCK-000077,2026-04-07T23:18:00,2026-04-11T20:18:00,BigQuery,Failed Pipeline Job,High,FAC-020,MTR-096,Field Ops,Resolved,Dashboard value mismatch,Polling Platform,Documented workaround and escalation path,BATCH-20260407-23,
TCK-000078,2026-05-20T22:41:00,2026-05-24T01:41:00,BigQuery,Late Data Arrival,High,FAC-009,MTR-042,Measurement,Resolved,Dashboard value mismatch,User Workflow,Documented workaround and escalation path,BATCH-20260520-22,STALE_READING
TCK-000079,2026-04-21T20:50:00,,MeterFlow IQ,Duplicate Records,Low,FAC-024,MTR-120,Commercial,Waiting on Source Team,Report output delayed,Reference Data,Validated source-to-target counts,BATCH-20260421-20,
TCK-000080,2026-05-06T07:32:00,,SimulatedSCADA,Duplicate Records,High,FAC-017,MTR-084,Measurement,Investigating,Pipeline health alert,Report Logic,Validated source-to-target counts,BATCH-20260506-07,
TCK-000081,2026-04-27T18:36:00,2026-04-28T06:36:00,BigQuery,Late Data Arrival,Critical,FAC-017,MTR-082,Field Ops,Resolved,Dashboard value mismatch,Access / Security,Validated source-to-target counts,BATCH-20260427-18,PIPELINE_FAILED
TCK-000082,2026-04-07T22:14:00,2026-04-10T05:14:00,Azure SQL,Failed Pipeline Job,Medium,FAC-022,MTR-108,Operations,Resolved,Pipeline health alert,User Workflow,Closed after successful rerun,BATCH-20260407-22,DUPLICATE_READING
TCK-000083,2026-05-28T01:13:00,2026-05-29T18:13:00,Azure SQL,Invalid Quality Code,Low,FAC-013,MTR-065,BI Reporting,Resolved,Potential measurement close impact,Reference Data,Closed after successful rerun,BATCH-20260528-01,PIPELINE_FAILED
TCK-000084,2026-05-05T15:22:00,2026-05-06T19:22:00,Snowflake,BI Report Mismatch,Medium,FAC-023,MTR-114,Application Support,Closed,User unable to validate volume,ETL / Pipeline,Documented workaround and escalation path,BATCH-20260505-15,DUPLICATE_READING
TCK-000085,2026-05-01T06:01:00,2026-05-04T18:01:00,Azure SQL,Late Data Arrival,High,FAC-012,MTR-056,Application Support,Closed,Potential measurement close impact,ETL / Pipeline,Validated source-to-target counts,BATCH-20260501-06,STALE_READING
TCK-000086,2026-05-08T12:03:00,2026-05-11T04:03:00,Snowflake,Incorrect Facility Mapping,Low,FAC-008,MTR-038,Application Support,Resolved,Dashboard value mismatch,Source Data,Validated source-to-target counts,BATCH-20260508-12,LATE_ARRIVAL
TCK-000087,2026-05-02T01:56:00,,MeterFlow IQ,Duplicate Records,Medium,FAC-017,MTR-085,Measurement,New,Dashboard value mismatch,Reference Data,Documented workaround and escalation path,BATCH-20260502-01,ZERO_VOLUME
TCK-000088,2026-04-21T01:06:00,,SimulatedSCADA,FlowCal Exception,Critical,FAC-019,MTR-093,Measurement,Investigating,Dashboard value mismatch,User Workflow,Documented workaround and escalation path,BATCH-20260421-01,NULL_VOLUME
TCK-000089,2026-04-07T13:34:00,2026-04-10T13:34:00,Snowflake,User Access Issue,Medium,FAC-010,MTR-049,Measurement,Resolved,User unable to validate volume,Source Data,Closed after successful rerun,BATCH-20260407-13,DUPLICATE_READING
TCK-000090,2026-05-03T06:59:00,2026-05-03T10:59:00,FlowCalSim,Failed Pipeline Job,High,FAC-002,MTR-008,Field Ops,Closed,Potential measurement close impact,Measurement Approval,Validated source-to-target counts,BATCH-20260503-06,ZERO_VOLUME
TCK-000091,2026-04-01T01:49:00,,SimulatedSCADA,Late Data Arrival,Medium,FAC-003,MTR-013,Application Support,Investigating,Dashboard value mismatch,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260401-01,ZERO_VOLUME
TCK-000092,2026-05-27T22:02:00,2026-05-31T04:02:00,MeterFlow IQ,Invalid Quality Code,High,FAC-001,MTR-003,Measurement,Closed,Dashboard value mismatch,Access / Security,Documented workaround and escalation path,BATCH-20260527-22,MISSING_ASSET
TCK-000093,2026-04-19T07:40:00,,MeterFlow IQ,Duplicate Records,High,FAC-023,MTR-112,Application Support,Investigating,User unable to validate volume,ETL / Pipeline,Validated source-to-target counts,BATCH-20260419-07,ZERO_VOLUME
TCK-000094,2026-05-20T18:59:00,2026-05-23T03:59:00,FlowCalSim,BI Report Mismatch,Medium,FAC-002,MTR-007,Application Support,Closed,User unable to validate volume,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260520-18,MISSING_ASSET
TCK-000095,2026-04-04T10:34:00,2026-04-05T22:34:00,Snowflake,Invalid Quality Code,Medium,FAC-022,MTR-110,Operations,Closed,User unable to validate volume,Access / Security,Documented workaround and escalation path,BATCH-20260404-10,
TCK-000096,2026-04-11T00:30:00,2026-04-13T07:30:00,SimulatedSCADA,Incorrect Facility Mapping,Medium,FAC-014,MTR-070,Commercial,Closed,Potential measurement close impact,Source Data,Waiting on source system refresh,BATCH-20260411-00,ZERO_VOLUME
TCK-000097,2026-05-15T03:29:00,2026-05-18T13:29:00,MeterFlow IQ,Invalid Quality Code,Medium,FAC-022,MTR-106,Field Ops,Resolved,Report output delayed,User Workflow,Documented workaround and escalation path,BATCH-20260515-03,NULL_VOLUME
TCK-000098,2026-04-19T06:50:00,2026-04-21T06:50:00,MeterFlow IQ,Duplicate Records,High,FAC-023,MTR-112,Application Support,Closed,Pipeline health alert,Source Data,Reviewed mapping and confirmed correction,BATCH-20260419-06,PIPELINE_FAILED
TCK-000099,2026-05-27T02:07:00,2026-05-29T21:07:00,SimulatedSCADA,Duplicate Records,High,FAC-011,MTR-055,BI Reporting,Closed,Potential measurement close impact,Polling Platform,Reviewed mapping and confirmed correction,BATCH-20260527-02,
TCK-000100,2026-04-16T09:19:00,2026-04-19T01:19:00,Streamlit,Missing Measurement Data,Low,FAC-017,MTR-081,Measurement,Resolved,Pipeline health alert,Access / Security,Waiting on source system refresh,BATCH-20260416-09,STALE_READING
TCK-000101,2026-04-15T04:30:00,,Streamlit,BI Report Mismatch,Medium,FAC-007,MTR-035,Measurement,New,Report output delayed,Access / Security,Reviewed mapping and confirmed correction,BATCH-20260415-04,STALE_READING
TCK-000102,2026-04-11T20:29:00,,MeterFlow IQ,BI Report Mismatch,Medium,FAC-025,MTR-123,Operations,Waiting on Source Team,Pipeline health alert,Polling Platform,Validated source-to-target counts,BATCH-20260411-20,ZERO_VOLUME
TCK-000103,2026-05-11T02:51:00,,Snowflake,FlowCal Exception,Low,FAC-002,MTR-006,Operations,New,Potential measurement close impact,User Workflow,Waiting on source system refresh,BATCH-20260511-02,NULL_VOLUME
TCK-000104,2026-04-27T05:04:00,2026-04-29T00:04:00,Streamlit,Late Data Arrival,Medium,FAC-011,MTR-054,Measurement,Resolved,Pipeline health alert,ETL / Pipeline,Reviewed mapping and confirmed correction,BATCH-20260427-05,PIPELINE_FAILED
TCK-000105,2026-05-16T10:47:00,,Azure SQL,Incorrect Facility Mapping,Medium,FAC-007,MTR-033,Application Support,Waiting on Source Team,User unable to validate volume,Polling Platform,Waiting on source system refresh,BATCH-20260516-10,
TCK-000106,2026-05-23T06:23:00,,MeterFlow IQ,Polling Outage,Critical,FAC-010,MTR-049,Field Ops,New,User unable to validate volume,Measurement Approval,Waiting on source system refresh,BATCH-20260523-06,NULL_VOLUME
TCK-000107,2026-05-15T00:59:00,2026-05-17T08:59:00,MeterFlow IQ,Incorrect Facility Mapping,High,FAC-009,MTR-045,BI Reporting,Resolved,Report output delayed,User Workflow,Reviewed mapping and confirmed correction,BATCH-20260515-00,DUPLICATE_READING
TCK-000108,2026-04-26T13:02:00,2026-04-30T12:02:00,MeterFlow IQ,FlowCal Exception,High,FAC-012,MTR-057,BI Reporting,Resolved,User unable to validate volume,Report Logic,Documented workaround and escalation path,BATCH-20260426-13,ZERO_VOLUME
TCK-000109,2026-04-21T13:32:00,2026-04-24T05:32:00,Snowflake,Polling Outage,Medium,FAC-020,MTR-098,BI Reporting,Closed,Potential measurement close impact,Report Logic,Reviewed mapping and confirmed correction,BATCH-20260421-13,
TCK-000110,2026-04-30T09:36:00,2026-05-01T04:36:00,MeterFlow IQ,Failed Pipeline Job,Critical,FAC-013,MTR-064,Application Support,Closed,Potential measurement close impact,Source Data,Validated source-to-target counts,BATCH-20260430-09,STALE_READING
